SiO2 (Glass) - Palik

wavelength (microns), Im(eps)
10, 2.74249
9.756, 5.46224
9.524, 9.108
9.302, 10.17
9.174, 8.50016
9.09836, 5.60373
9.091, 5.3193
9.009, 2.65408
8.929, 1.37085
8.85, 1.09028
8.772, 1.03356
8.696, 1.00831
8.621, 0.976482
8.547, 0.910714
8.475, 0.857128
8.403, 0.79464
8.34586, 0.725108
8.333, 0.70932
8.265, 0.637824
8.197, 0.549783
8.13, 0.444612
8.065, 0.350645
8, 0.2657
7.937, 0.202046
7.874, 0.144038
7.813, 0.0957235
7.752, 0.0667108
7.70833, 0.0599703
7.692, 0.0574294
7.634, 0
7.576, 0
7.519, 0
7.463, 0
7.407, 0.0280845
7.353, 0
7.246, 0
7.16129, 0.0183126
7.143, 0.0223236
7.042, 0
6.944, 0
6.849, 0
6.757, 0
6.68675, 0.0130954
6.667, 0.016826
6.452, 0.0159257
6.27119, 0.0161316
6.25, 0.0161566
5.90426, 0.015245
5.882, 0.0151826
5.57789, 0.0147393
5.556, 0.0147056
5.28571, 0.0128555
5.02262, 0.0108634
5, 0.0106823
4.78448, 0.00619022
4.5679, 0.0012489
4.545, 0.00069888
4.37008, 0.000521092
4.18868, 0.000321036
4.167, 0.000295962
4.02174, 0.00022777
3.8676, 0.000149806
3.846, 0.000138384
3.72483, 1.85989e-05
3.7067, 0
3.59223, 0
3.5564, 0
3.507, 0
3.46875, 0
3.422, 0
3.35347, 0
3.3026, 0
3.2668, 0
3.24561, 0
3.2439, 0
3.14448, 0
3.04945, 0
2.96, 0
2.87565, 0
2.79597, 0
2.72059, 0
2.64916, 0
2.5814, 0
2.51701, 0
2.45575, 0
2.4374, 0
2.39741, 0
2.34177, 0
2.32542, 0
2.28866, 0
2.2379, 0
2.18935, 0
2.1526, 0
2.14286, 0
2.0983, 0
2.0581, 0
2.05556, 0
2.01452, 0
1.97509, 0
1.97009, 0
1.93717, 0
1.90068, 0
1.86555, 0
1.83168, 0
1.81307, 0
1.79903, 0
1.76752, 0
1.73709, 0
1.70913, 0
1.70769, 0
1.6932, 0
1.681, 0
1.67927, 0
1.6606, 0
1.65179, 0
1.62518, 0
1.59942, 0
1.57447, 0
1.55028, 0
1.52952, 0
1.52682, 0
1.50407, 0
1.48198, 0
1.4695, 0
1.46053, 0
1.43969, 0
1.41944, 0
1.39975, 0
1.39506, 0
1.3806, 0
1.3622, 0
1.36196, 0
1.34383, 0
1.32616, 0
1.30896, 0
1.2922, 0
1.27586, 0
1.25993, 0
1.24439, 0
1.22924, 0
1.21444, 0
1.2, 0
1.1859, 0
1.17212, 0
1.15866, 0
1.14551, 0
1.13265, 0
1.12866, 0
1.12008, 0
1.10778, 0
1.09576, 0
1.08398, 0
1.08297, 0
1.07246, 0
1.06119, 0
1.05014, 0
1.03933, 0
1.02873, 0
1.01835, 0
1.01398, 0
1.00817, 0
0.998201, 0
0.988424, 0
0.978836, 0
0.969432, 0
0.960208, 0
0.951157, 0
0.942275, 0
0.933558, 0
0.925, 0
0.916598, 0
0.908347, 0
0.900243, 0
0.89435, 0
0.892283, 0
0.884462, 0
0.876777, 0
0.869225, 0
0.861801, 0
0.854503, 0
0.852111, 0
0.847328, 0
0.840273, 0
0.833333, 0
0.826508, 0
0.819793, 0
0.813187, 0
0.806686, 0
0.800288, 0
0.793991, 0
0.787793, 0
0.78169, 0
0.775681, 0
0.769764, 0
0.763937, 0
0.758197, 0
0.752542, 0
0.746972, 0
0.741483, 0
0.736074, 0
0.730744, 0
0.72549, 0
0.720311, 0
0.715206, 0
0.710173, 0
0.706519, 0
0.70521, 0
0.700315, 0
0.695489, 0
0.690728, 0
0.686032, 0
0.6814, 0
0.676829, 0
0.67232, 0
0.66787, 0
0.667815, 0
0.663479, 0
0.659145, 0
0.656272, 0
0.654867, 0
0.650645, 0
0.646476, 0
0.643847, 0
0.642361, 0
0.638298, 0
0.634286, 0
0.630324, 0
0.626411, 0
0.622546, 0
0.618729, 0
0.614958, 0
0.611233, 0
0.607553, 0
0.603917, 0
0.600324, 0
0.596774, 0
0.593266, 0
0.589798, 0
0.589262, 0
0.587561, 0
0.586371, 0
0.582983, 0
0.579634, 0
0.579065, 0
0.576959, 0
0.576324, 0
0.573051, 0
0.569815, 0
0.566616, 0
0.563452, 0
0.560323, 0
0.557229, 0
0.554169, 0
0.551142, 0
0.548148, 0
0.546074, 0
0.545187, 0
0.542257, 0
0.539359, 0
0.536491, 0
0.533654, 0
0.530846, 0
0.528069, 0
0.525319, 0
0.522599, 0
0.519906, 0
0.517241, 0
0.514604, 0
0.511993, 0
0.509408, 0
0.508582, 0
0.506849, 0
0.504316, 0
0.501808, 0
0.499325, 0
0.496867, 0
0.494432, 0
0.492021, 0
0.489634, 0
0.48727, 0
0.486133, 0
0.484928, 0
0.482609, 0
0.480312, 0
0.478036, 0
0.475782, 0
0.473549, 0
0.471338, 0
0.469146, 0
0.467816, 0
0.466975, 0
0.464824, 0
0.462693, 0
0.460581, 0
0.458488, 0
0.456414, 0
0.454359, 0
0.452323, 0
0.450304, 0
0.448304, 0
0.446321, 0
0.444355, 0
0.442407, 0
0.440476, 0
0.438562, 0
0.436664, 0
0.435835, 0
0.434783, 0
0.432917, 0
0.431068, 0
0.429234, 0
0.427416, 0
0.425613, 0
0.423826, 0
0.422053, 0
0.420295, 0
0.418552, 0
0.416823, 0
0.415108, 0
0.413408, 0
0.411721, 0
0.410048, 0
0.408389, 0
0.406742, 0
0.405109, 0
0.404656, 0
0.40349, 0
0.401883, 0
0.400288, 0
0.398707, 0
0.397138, 0
0.395581, 0
0.394036, 0
0.392504, 0
0.390983, 0
0.389474, 0
0.387976, 0
0.38649, 0
0.385016, 0
0.383552, 0
0.3821, 0
0.380658, 0
0.379228, 0
0.377808, 0
0.376399, 0
0.375, 0
0.373612, 0
0.372233, 0
0.370865, 0
0.369507, 0
0.368159, 0
0.366821, 0
0.365492, 0
0.365015, 0
0.364173, 0
0.362864, 0
0.361564, 0
0.361051, 0
0.360273, 0
0.358991, 0
0.357718, 0
0.356455, 0
0.3552, 0
0.353954, 0
0.352717, 0
0.351488, 0
0.350268, 0
0.349057, 0
0.347853, 0
0.346658, 0
0.34662, 0
0.345472, 0
0.344293, 0
0.343122, 0
0.341959, 0
0.340804, 0
0.340365, 0
0.339657, 0
0.338518, 0
0.337386, 0
0.336262, 0
0.335145, 0
0.334148, 0
0.334036, 0
0.332933, 0
0.331839, 0
0.330751, 0
0.330259, 0
0.32967, 0
0.328597, 0
0.32753, 0
0.326471, 0
0.325418, 0
0.324372, 0
0.323332, 0
0.3223, 0
0.321274, 0
0.320254, 0
0.319241, 0
0.318234, 0
0.317233, 0
0.316239, 0
0.315251, 0
0.31427, 0
0.313294, 0
0.312324, 0
0.31136, 0
0.310403, 0
0.309451, 0
0.308505, 0
0.307564, 0
0.30663, 0
0.305701, 0
0.304778, 0
0.30386, 0
0.302948, 0
0.30215, 0
0.302041, 0
0.301139, 0
0.300243, 0
0.299353, 0
0.298467, 0
0.297587, 0
0.296728, 0
0.296712, 0
0.295842, 0
0.294977, 0
0.294118, 0
0.293263, 0
0.292413, 0
0.291568, 0
0.290728, 0
0.289893, 0
0.28936, 0
0.289062, 0
0.288237, 0
0.287416, 0
0.2866, 0
0.285788, 0
0.284981, 0
0.284178, 0
0.28338, 0
0.282587, 0
0.281797, 0
0.281013, 0
0.280347, 0
0.280232, 0
0.279456, 0
0.278684, 0
0.277917, 0
0.277154, 0
0.276394, 0
0.275639, 0
0.275278, 0
0.274889, 0
0.274142, 0
0.273399, 0
0.27266, 0
0.271926, 0
0.271195, 0
0.270468, 0
0.269885, 0
0.269745, 0
0.269026, 0
0.26831, 0
0.267599, 0
0.266891, 0
0.266187, 0
0.265487, 0
0.265204, 0
0.26479, 0
0.264097, 0
0.263408, 0
0.262722, 0
0.26204, 0
0.261361, 0
0.260686, 0
0.260014, 0
0.259346, 0
0.258681, 0
0.25802, 0
0.257361, 0
0.256707, 0
0.256055, 0
0.255407, 0
0.254762, 0
0.254121, 0
0.253483, 0
0.252847, 0
0.252215, 0
0.251587, 0
0.250961, 0
0.250338, 0
0.249719, 0
0.249102, 0
0.248489, 0
0.248272, 0
0.247879, 0
0.247271, 0
0.246667, 0
0.246065, 0
0.245467, 0
0.244871, 0
0.244278, 0
0.243688, 0
0.243101, 0
0.242517, 0
0.241935, 0
0.241357, 0
0.240781, 0
0.240208, 0
0.239938, 0
0.239637, 0
0.23907, 0
0.238505, 0
0.237942, 0
0.237833, 0
0.237382, 0
0.236825, 0
0.236271, 0
0.235719, 0
0.235169, 0
0.234623, 0
0.234078, 0
0.233537, 0
0.232997, 0
0.232461, 0
0.231926, 0
0.231395, 0
0.230865, 0
0.230338, 0
0.230209, 0
0.229814, 0
0.229291, 0
0.228772, 0
0.228254, 0
0.227739, 0
0.227226, 0
0.226747, 0
0.226716, 0
0.226207, 0
0.225702, 0
0.225198, 0
0.224696, 0
0.224197, 0
0.2237, 0
0.223205, 0
0.222713, 0
0.222222, 0
0.221734, 0
0.221248, 0
0.220764, 0
0.220282, 0
0.219802, 0
0.219324, 0
0.218849, 0
0.218375, 0
0.217903, 0
0.217434, 0
0.216966, 0
0.216501, 0
0.216037, 0
0.215576, 0
0.215116, 0
0.214659, 0
0.214438, 0
0.214203, 0
0.213856, 0
0.213749, 0
0.213297, 0
0.212848, 0
0.2124, 0
0.211953, 0
0.211509, 0
0.211067, 0
0.210626, 0
0.210187, 0
0.209751, 0
0.209315, 0
0.208882, 0
0.208451, 0
0.208021, 0
0.207593, 0
0.207167, 0
0.206742, 0
0.2066, 0
0.20632, 0
0.205899, 0
0.205479, 0
0.205062, 0
0.204646, 0
0.204232, 0
0.203819, 0
0.203408, 0
0.202999, 0
0.202592, 0
0.202186, 0
