SiO2 (Glass) - Palik

wavelength (microns), Re(eps)
10, 6.99855
9.756, 7.13448
9.524, 4.8951
9.302, -0.0451
9.174, -4.30544
9.09836, -5.31547
9.091, -5.41465
9.009, -4.81114
8.929, -3.28523
8.85, -2.21395
8.772, -1.58913
8.696, -1.18323
8.621, -0.93669
8.547, -0.739701
8.475, -0.590164
8.403, -0.481871
8.34586, -0.401165
8.333, -0.382841
8.265, -0.290407
8.197, -0.215823
8.13, -0.144205
8.065, -0.0443884
8, 0.0648387
7.937, 0.172087
7.874, 0.280255
7.813, 0.38248
7.752, 0.492947
7.70833, 0.566659
7.692, 0.594446
7.634, 0.674534
7.576, 0.7396
7.519, 0.791566
7.463, 0.841806
7.407, 0.900002
7.353, 0.941288
7.246, 1.0282
7.16129, 1.09423
7.143, 1.1087
7.042, 1.17506
6.944, 1.22545
6.849, 1.28822
6.757, 1.34096
6.68675, 1.37179
6.667, 1.38057
6.452, 1.4689
6.27119, 1.52794
6.25, 1.53508
5.90426, 1.62696
5.882, 1.63325
5.57789, 1.70048
5.556, 1.7056
5.28571, 1.74945
5.02262, 1.79666
5, 1.80095
4.78448, 1.82897
4.5679, 1.85979
4.545, 1.86322
4.37008, 1.88505
4.18868, 1.90961
4.167, 1.91269
4.02174, 1.92712
3.8676, 1.94361
3.846, 1.94602
3.72483, 1.95657
3.7067, 1.95821
3.59223, 1.9684
3.5564, 1.97172
3.507, 1.97594
3.46875, 1.97907
3.422, 1.983
3.35347, 1.98835
3.3026, 1.99247
3.2668, 1.99524
3.24561, 1.99683
3.2439, 1.99696
3.14448, 2.0018
3.04945, 2.00673
2.96, 2.01165
2.87565, 2.01657
2.79597, 2.02149
2.72059, 2.02641
2.64916, 2.03133
2.5814, 2.03625
2.51701, 2.04117
2.45575, 2.0461
2.4374, 2.04762
2.39741, 2.04957
2.34177, 2.0524
2.32542, 2.05326
2.28866, 2.05489
2.2379, 2.05723
2.18935, 2.05957
2.1526, 2.06141
2.14286, 2.06182
2.0983, 2.06377
2.0581, 2.0656
2.05556, 2.0657
2.01452, 2.0674
1.97509, 2.06909
1.97009, 2.06931
1.93717, 2.07054
1.90068, 2.07196
1.86555, 2.07337
1.83168, 2.07479
1.81307, 2.07559
1.79903, 2.07609
1.76752, 2.07725
1.73709, 2.07841
1.70913, 2.07951
1.70769, 2.07956
1.6932, 2.08011
1.681, 2.08055
1.67927, 2.08061
1.6606, 2.0813
1.65179, 2.08158
1.62518, 2.08247
1.59942, 2.08336
1.57447, 2.08425
1.55028, 2.08513
1.52952, 2.08592
1.52682, 2.086
1.50407, 2.08675
1.48198, 2.0875
1.4695, 2.08794
1.46053, 2.08823
1.43969, 2.08891
1.41944, 2.0896
1.39975, 2.09029
1.39506, 2.09045
1.3806, 2.09092
1.3622, 2.09152
1.36196, 2.09153
1.34383, 2.09203
1.32616, 2.09254
1.30896, 2.09304
1.2922, 2.09355
1.27586, 2.09405
1.25993, 2.09456
1.24439, 2.09506
1.22924, 2.09556
1.21444, 2.09607
1.2, 2.09657
1.1859, 2.09708
1.17212, 2.09758
1.15866, 2.09809
1.14551, 2.09859
1.13265, 2.09909
1.12866, 2.09925
1.12008, 2.09953
1.10778, 2.09994
1.09576, 2.10035
1.08398, 2.10075
1.08297, 2.10079
1.07246, 2.10114
1.06119, 2.10152
1.05014, 2.10191
1.03933, 2.10229
1.02873, 2.10268
1.01835, 2.10306
1.01398, 2.10323
1.00817, 2.10342
0.998201, 2.10377
0.988424, 2.10412
0.978836, 2.10447
0.969432, 2.10482
0.960208, 2.10517
0.951157, 2.10552
0.942275, 2.10587
0.933558, 2.10622
0.925, 2.10656
0.916598, 2.10691
0.908347, 2.10726
0.900243, 2.10761
0.89435, 2.10787
0.892283, 2.10795
0.884462, 2.10828
0.876777, 2.10861
0.869225, 2.10894
0.861801, 2.10926
0.854503, 2.10959
0.852111, 2.1097
0.847328, 2.10991
0.840273, 2.11023
0.833333, 2.11055
0.826508, 2.11087
0.819793, 2.11118
0.813187, 2.1115
0.806686, 2.11182
0.800288, 2.11214
0.793991, 2.11246
0.787793, 2.11277
0.78169, 2.11309
