Si (Silicon) - Palik

wavelength (microns), Im(eps)
10, 0.000462587
9.09836, 5.00094e-05
9, 0
8.34586, 6.56657e-05
8, 0.000104725
7.70833, 7.69874e-05
7.16129, 1.88694e-05
7, 0
6.68675, 0
6.27119, 0
6, 0
5.90426, 1.10561e-07
5.57789, 5.15952e-07
5.28571, 9.21343e-07
5.02262, 1.32673e-06
5, 1.36359e-06
4.78448, 1.1179e-06
4.5679, 8.47636e-07
4.37008, 5.77375e-07
4.18868, 3.07114e-07
4.02174, 3.68537e-08
4, 0
3.8676, 0
3.72483, 0
3.59223, 0
3.5, 0
3.46875, 0
3.4188, 0
3.35347, 0
3.3033, 0
3.24561, 0
3.14448, 0
3.04945, 0
3, 0
2.96, 2.20864e-09
2.87565, 7.06763e-09
2.79597, 1.19266e-08
2.72059, 1.67856e-08
2.7144, 1.71965e-08
2.64916, 1.22587e-08
2.5814, 6.8649e-09
2.51701, 1.47105e-09
2.5, 0
2.45575, 0
2.4373, 0
2.39741, 0
2.34177, 0
2.28866, 0
2.2379, 0
2.18935, 0
2.14286, 0
2.0983, 0
2.05556, 0
2.01452, 0
2, 0
1.97509, 0
1.93717, 0
1.90068, 0
1.86555, 0
1.83168, 0
1.8, 0
1.79903, 0
1.76752, 0
1.73709, 0
1.70769, 0
1.696, 0
1.67927, 0
1.65179, 0
1.62518, 0
1.6, 0
1.59942, 0
1.57447, 0
1.55028, 0
1.532, 0
1.52682, 0
1.50407, 0
1.48198, 0
1.46053, 0
1.43969, 0
1.41944, 0
1.4, 0
1.39975, 0
1.3806, 0
1.372, 0
1.36196, 0
1.34383, 0
1.32616, 0
1.30896, 0
1.2922, 0
1.27586, 0
1.25993, 0
1.24439, 0
1.22924, 0
1.21444, 0
1.2, 0
1.2, 0
1.1859, 0
1.17212, 0
1.15866, 0
1.14551, 0
1.144, 0
1.13265, 6.52888e-05
1.127, 9.83064e-05
1.12008, 0.000138486
1.10778, 0.000211127
1.09576, 0.000283769
1.08398, 0.00035641
1.078, 0.00039395
1.07246, 0.000533876
1.06119, 0.000823447
1.05014, 0.00111302
1.03933, 0.00140259
1.033, 0.00157476
1.02873, 0.00183769
1.01835, 0.00248621
1.00817, 0.00313474
0.998201, 0.00378326
0.9919, 0.00419975
0.988424, 0.00453127
0.978836, 0.00545788
0.969432, 0.0063845
0.960208, 0.00731111
0.9537, 0.00797557
0.951157, 0.00829938
0.942275, 0.00944397
0.933558, 0.0105885
0.925, 0.0117331
0.9184, 0.0126304
0.916598, 0.0129107
0.908347, 0.0142079
0.900243, 0.0155052
0.892283, 0.0168024
0.8856, 0.0179095
0.884462, 0.0181281
0.876777, 0.0196193
0.869225, 0.0211106
0.861801, 0.0226019
0.8551, 0.0239703
0.854503, 0.0242286
0.847328, 0.0273647
0.840273, 0.0305007
0.833333, 0.0336367
0.8266, 0.03673
0.826508, 0.0367921
0.819793, 0.0413542
0.8157, 0.044172
0.813187, 0.0441917
0.806686, 0.0442433
0.8051, 0.044256
0.800288, 0.0477365
0.7948, 0.051758
0.793991, 0.0517669
0.787793, 0.0518354
0.7847, 0.05187
0.78169, 0.0541699
0.775681, 0.0588147
0.7749, 0.059424
0.769764, 0.0594836
0.7653, 0.059536
0.763937, 0.0606339
0.758197, 0.0652996
0.756, 0.067104
0.752542, 0.0671583
0.746972, 0.0672469
0.7469, 0.067248
0.741483, 0.0718836
0.738, 0.0749
0.736074, 0.0749307
0.730744, 0.0750165
0.7293, 0.07504
0.72549, 0.0784698
0.7208, 0.082742
0.720311, 0.0827511
0.715206, 0.0828467
0.7126, 0.082896
0.710173, 0.0852076
0.70521, 0.0899836
0.7045, 0.090672
0.700315, 0.0947245
0.6965, 0.098462
0.695489, 0.0984924
0.690728, 0.0986369
0.6888, 0.098696
0.686032, 0.0987806
0.6814, 0.0989238
0.6812, 0.09893
0.676829, 0.103569
0.6738, 0.10682
0.67232, 0.108443
0.66787, 0.113363
0.6666, 0.11478
0.663479, 0.118278
0.6595, 0.122784
0.659145, 0.1228
0.654867, 0.122998
0.6526, 0.123104
0.650645, 0.125407
0.646476, 0.130362
0.6458, 0.131172
0.642361, 0.135333
0.6391, 0.13932
0.638298, 0.140322
0.634286, 0.145374
0.6326, 0.147516
0.630324, 0.155917
0.626411, 0.170501
0.6262, 0.171292
0.622546, 0.171622
0.6199, 0.171864
0.618729, 0.174949
0.614958, 0.184963
0.6138, 0.188064
0.611233, 0.191674
0.6078, 0.19655
0.607553, 0.196575
0.603917, 0.196944
0.6019, 0.19715
0.600324, 0.201593
0.596774, 0.211693
0.5961, 0.213624
0.593266, 0.225756
0.5904, 0.23814
0.589798, 0.23823
0.586371, 0.238743
0.5848, 0.23898
0.582983, 0.231242
0.579634, 0.216852
0.5794, 0.215838
0.576324, 0.229954
0.574, 0.24072
0.573051, 0.246592
0.569815, 0.266763
0.5687, 0.273768
0.566616, 0.267638
0.5636, 0.258688
0.563452, 0.260118
0.560323, 0.290482
0.5585, 0.308332
0.557229, 0.296297
0.554169, 0.267096
0.5535, 0.260672
0.551142, 0.30817
0.5486, 0.359832
0.548148, 0.359972
0.545187, 0.360893
0.5438, 0.361328
0.542257, 0.372582
0.539359, 0.393895
0.5391, 0.395808
0.536491, 0.382976
0.5344, 0.3726
0.533654, 0.370142
0.530846, 0.360834
0.5299, 0.357674
0.528069, 0.39213
0.5254, 0.442762
0.525319, 0.443245
0.522599, 0.459632
0.5209, 0.469952
0.519906, 0.478183
0.517241, 0.500415
0.5166, 0.5058
0.514604, 0.506909
0.5123, 0.5082
0.511993, 0.515791
0.509408, 0.579985
0.5081, 0.61272
0.506849, 0.598113
0.504316, 0.568306
0.504, 0.564564
0.501808, 0.598083
0.4999, 0.627508
0.499325, 0.627966
0.496867, 0.629939
