Si (Silicon) - Palik

wavelength (microns), Re(eps)
10, 11.7067
9.09836, 11.7091
9, 11.7094
8.34586, 11.7115
8, 11.7128
7.70833, 11.7141
7.16129, 11.7168
7, 11.7176
6.68675, 11.7197
6.27119, 11.7229
6, 11.7251
5.90426, 11.7262
5.57789, 11.7301
5.28571, 11.7339
5.02262, 11.7378
5, 11.7382
4.78448, 11.7422
4.5679, 11.7467
4.37008, 11.7512
4.18868, 11.7557
4.02174, 11.7602
4, 11.7608
3.8676, 11.7652
3.72483, 11.7704
3.59223, 11.7755
3.5, 11.7793
3.46875, 11.7809
3.4188, 11.7834
3.35347, 11.7865
3.3033, 11.7889
3.24561, 11.7921
3.14448, 11.7978
3.04945, 11.8036
3, 11.8068
2.96, 11.8096
2.87565, 11.8158
2.79597, 11.822
2.72059, 11.8283
2.7144, 11.8288
2.64916, 11.8349
2.5814, 11.8416
2.51701, 11.8483
2.5, 11.8501
2.45575, 11.8549
2.4373, 11.857
2.39741, 11.8599
2.34177, 11.8642
2.28866, 11.8685
2.2379, 11.8727
2.18935, 11.877
2.14286, 11.8813
2.0983, 11.8855
2.05556, 11.8898
2.01452, 11.8941
2, 11.8956
1.97509, 11.9025
1.93717, 11.9133
1.90068, 11.9242
1.86555, 11.935
1.83168, 11.9459
1.8, 11.9564
1.79903, 11.9568
1.76752, 11.9701
1.73709, 11.9834
1.70769, 11.9967
1.696, 12.0021
1.67927, 12.0097
1.65179, 12.0225
1.62518, 12.0353
1.6, 12.0478
1.59942, 12.0483
1.57447, 12.0666
1.55028, 12.085
1.532, 12.0993
1.52682, 12.1016
1.50407, 12.1119
1.48198, 12.1222
1.46053, 12.1325
1.43969, 12.1428
1.41944, 12.1532
1.4, 12.1634
1.39975, 12.1642
1.3806, 12.2264
1.372, 12.2549
1.36196, 12.2616
1.34383, 12.274
1.32616, 12.2864
1.30896, 12.2988
1.2922, 12.3112
1.27586, 12.3235
1.25993, 12.3359
1.24439, 12.3483
1.22924, 12.3607
1.21444, 12.3731
1.2, 12.3855
1.2, 12.3855
1.1859, 12.4029
1.17212, 12.4204
1.15866, 12.4379
1.14551, 12.4553
1.144, 12.4574
1.13265, 12.4888
1.127, 12.5047
1.12008, 12.5171
1.10778, 12.5396
1.09576, 12.562
1.08398, 12.5845
1.078, 12.5961
1.07246, 12.6077
1.06119, 12.6316
1.05014, 12.6554
1.03933, 12.6793
1.033, 12.6935
1.02873, 12.7039
1.01835, 12.7295
1.00817, 12.7551
0.998201, 12.7806
0.9919, 12.7971
